,depth,lat,lon,modtemp,obstemp,time
29,[  2.   3.   5.   8.   9.  10.  11.  12.  13.  13.],38.006127098,-74.624377179999982,"[22.41967, 22.420523, 22.42205, 22.424141, 22.424801, 22.425426, 22.426102, 22.429165, 22.435024, 22.435024]","[ 23.436  23.451  23.51   23.508  23.483  23.483  23.42   23.204  23.024
  22.99 ]",2013-08-26 04:00:00
30,[  2.  17.  20.  21.  22.  23.  24.  25.  28.  45.],38.055252441999997,-74.512567189999999,"[22.711739, 22.599644, 20.734118, 19.026705, 19.026705, 16.965151, 14.851706, 12.91195, 9.2908077, 7.8552895]","[ 23.35   23.116  20.305  17.377  16.162  12.838  12.721  10.935   9.442
   8.71 ]",2013-08-26 20:00:00
31,[  2.  17.  19.  20.  21.  22.  24.  25.  28.  44.],38.130685561999996,-74.511645549999983,"[22.590982, 22.331017, 21.179594, 19.355955, 17.454254, 15.639857, 12.30923, 11.082241, 9.4304714, 7.6887383]","[ 23.84   22.763  20.381  20.199  17.347  16.877  12.523  11.34    9.793
   8.67 ]",2013-08-28 00:00:00
32,[  2.  10.  13.  15.  19.  20.  21.  22.  25.  41.],38.081497686999995,-74.549765070000007,"[23.669968, 23.443359, 23.34548, 23.303476, 20.283226, 18.266388, 18.266388, 16.455748, 12.345406, 9.0450449]","[ 23.9    23.413  22.164  20.549  14.153  12.005  11.944  10.391   9.02
   8.67 ]",2013-08-28 20:00:00
33,[  2.   3.   4.   5.   6.   7.   8.   9.  11.  11.],38.02803196,-74.553889710000007,"[23.564032, 23.564331, 23.564545, 23.564785, 23.565142, 23.565643, 23.565643, 23.566072, 23.557772, 23.557772]","[ 24.09   24.019  23.809  23.766  23.705  23.628  23.564  23.56   23.56
  23.56 ]",2013-08-29 08:00:00
34,[  2.  12.  15.  16.  17.  18.  20.  21.  22.  39.],37.964538806,-74.675701410000002,"[23.493988, 23.501404, 23.500107, 23.454433, 23.15229, 22.162079, 18.398521, 16.685041, 15.163088, 9.8818483]","[ 23.79   23.678  22.407  20.94   16.819  14.472  13.312  11.231  10.686
   9.82 ]",2013-08-30 04:00:00
35,[  2.  10.  20.  22.  23.  25.  27.  28.  31.  38.],38.025147085,-74.58106094,"[23.594982, 23.600716, 19.659481, 15.77773, 14.209203, 11.788565, 10.928701, 10.257664, 9.8789597, 9.8762751]","[ 23.78   23.721  22.909  21.802  20.828  16.946  12.252  10.983   9.359
   9.02 ]",2013-08-31 08:00:00
36,[  2.  17.  22.  23.  25.  26.  27.  28.  32.  45.],38.174265239999997,-74.517544389999998,"[24.155457, 23.805492, 16.914976, 15.452797, 13.139435, 12.246803, 11.529364, 10.978641, 10.188811, 9.9643764]","[ 24.57   22.477  17.338  14.448  13.292  11.574  11.387   9.918   8.95
   9.059]",2013-09-02 00:00:00
37,[  2.  10.  16.  19.  22.  24.  26.  28.  38.  45.],38.167157011999997,-74.534913119999999,"[24.028856, 24.023987, 23.990513, 22.273905, 16.800339, 14.05502, 12.177364, 10.914302, 9.8685932, 9.8685932]","[ 24.4    24.276  22.143  18.819  13.717  11.475  10.022   9.234   8.94
   9.11 ]",2013-09-02 12:00:00
40,[  2.   6.   7.   8.   9.  10.  11.  12.  13.  23.],38.029906095000001,-74.941474850000006,"[16.141027, 16.125473, 16.120388, 16.101112, 16.043915, 15.965853, 15.200272, 12.787827, 11.738028, 9.6871386]","[ 17.21   17.057  16.757  15.755  14.479  12.176  11.175  10.9    10.849
  10.83 ]",2013-05-23 04:00:00
41,[  2.   7.   8.   9.  11.  12.  13.  14.  21.  27.],38.047703468000002,-74.902136830000003,"[15.924151, 15.910082, 15.898016, 15.886568, 15.738356, 14.914545, 13.916467, 11.701313, 8.9940271, 8.9427958]","[ 17.04   16.936  16.396  15.556  12.262  11.572  11.142  10.855  10.55
  10.53 ]",2013-05-23 08:00:00
42,[  2.   3.   6.   7.   8.   9.  12.  17.  20.  32.],38.080972887000001,-74.828911570000002,"[15.77997, 15.776512, 15.766543, 15.75763, 15.751096, 15.730034, 15.436604, 10.491904, 9.1210022, 8.4669781]","[ 16.85   16.824  15.848  15.101  14.178  13.66   11.839  10.654  10.346
  10.3  ]",2013-05-23 16:00:00
43,[  2.  13.  14.  16.  17.  18.  19.  20.  22.  36.],37.868948438000004,-74.791190110000002,"[14.708354, 14.706047, 14.705045, 14.698305, 14.663575, 14.474877, 14.001638, 13.332531, 11.106272, 7.1886559]","[ 14.41   14.274  13.988  13.988  13.154  11.5    11.039  10.069   9.652
   9.56 ]",2013-05-25 16:00:00
45,[  2.  10.  18.  19.  23.  25.  26.  28.  40.  45.],37.617360157,-74.791929760000002,"[14.929878, 14.926022, 14.266024, 14.266024, 12.979065, 12.205374, 11.176582, 10.409597, 8.1608763, 8.2589045]","[ 15.01   14.849  14.078  13.76   10.817  10.207  10.066   9.97   10.126
  10.025]",2013-05-27 12:00:00
46,[  2.   8.  10.  15.  16.  17.  18.  19.  22.  40.],37.527875623,-74.784873790000006,"[15.660691, 15.662592, 15.661241, 15.618346, 15.560048, 15.354565, 14.801936, 14.801936, 13.197165, 8.462532]","[ 15.42   15.23   14.485  13.947  13.345  12.041  11.027  10.694  10.14
  10.14 ]",2013-05-28 08:00:00
47,[  2.   8.   9.  10.  11.  12.  15.  18.  19.  25.],37.524341259000003,-74.764232509999999,"[16.285337, 16.286463, 16.286556, 16.286564, 16.286436, 16.286436, 16.285286, 16.265436, 16.265436, 13.177308]","[ 15.58   15.436  14.678  13.338  13.152  12.845  11.547   9.895   9.684
   9.57 ]",2013-05-29 04:00:00
49,[  2.  12.  18.  20.  22.  24.  26.  29.  36.  56.],37.500226613999999,-74.777799139999999,"[16.421814, 16.386497, 16.090691, 15.713351, 14.846164, 14.20894, 13.614614, 11.78345, 9.954895, 9.721384]","[ 15.62   15.028  13.788  11.385  10.43   10.43   10.954  11.24   10.731
  11.24 ]",2013-05-29 16:00:00
50,[  2.   8.  10.  14.  17.  21.  24.  29.  33.  43.],37.885075571000002,-74.682209510000007,"[17.282598, 17.277225, 17.272171, 17.254492, 17.07741, 14.121582, 10.315956, 8.8515978, 8.6442041, 8.2603788]","[ 17.13   16.916  15.384  13.882  11.753  10.696   9.524   9.47    9.799
  10.067]",2013-06-02 12:00:00
51,[  2.   8.  10.  13.  18.  20.  22.  23.  25.  42.],37.916792108000003,-74.704350410000004,"[17.547941, 17.531183, 17.517235, 17.471695, 16.100117, 13.482633, 11.137398, 10.494044, 9.6461296, 8.3421774]","[ 16.98   16.919  16.676  15.009  13.487  12.323  10.473   9.933   9.37
   9.903]",2013-06-02 16:00:00
52,[  2.   6.   9.  12.  16.  18.  19.  20.  23.  39.],37.965199244000004,-74.701114070000003,"[17.641825, 17.635521, 17.620274, 17.587603, 16.367926, 14.012873, 12.762676, 11.79557, 10.091106, 8.2699718]","[ 17.25   17.069  16.534  15.026  13.789  12.364  11.331  10.743   9.71
   9.71 ]",2013-06-02 20:00:00
53,[  2.   8.  10.  12.  14.  18.  20.  23.  27.  32.],38.003791479,-74.650395660000001,"[17.534885, 17.530989, 17.5282, 17.523212, 17.513878, 17.001373, 14.156266, 11.05888, 9.3895855, 8.3503408]","[ 17.35   17.137  16.574  15.227  14.808  12.959  11.825  10.509   9.793
   9.74 ]",2013-06-03 00:00:00
54,[  2.   8.  10.  16.  17.  18.  22.  25.  26.  37.],38.095547414999999,-74.597485019999979,"[16.362835, 16.357082, 16.339592, 15.927344, 15.665072, 15.350657, 13.429321, 9.9616995, 9.4382906, 7.1248732]","[ 17.34   17.096  16.706  13.894  13.291  12.214  11.793  10.082   9.815
   9.7  ]",2013-06-05 12:00:00
55,[  2.   6.  12.  15.  17.  18.  20.  25.  31.  39.],37.993324063999999,-74.608445189999998,"[17.246323, 17.237886, 17.207136, 17.010527, 16.194454, 15.566924, 14.661523, 9.8956404, 7.9015555, 7.2070737]","[ 18.53   18.36   16.993  15.533  14.964  13.835  12.629  11.169  10.201
  10.04 ]",2013-06-07 08:00:00
56,[  2.   5.   8.  10.  11.  15.  19.  25.  28.  42.],37.969013383000004,-74.597714799999977,"[17.511984, 17.504044, 17.491581, 17.47578, 17.462868, 17.273792, 14.909534, 9.7957964, 8.584486, 7.2096934]","[ 18.44   18.31   17.699  16.747  15.274  13.458  12.595  10.585  10.3
  10.3  ]",2013-06-07 20:00:00
57,[  2.   6.  10.  13.  14.  19.  22.  27.  36.  40.],37.971100456999999,-74.598731909999998,"[17.515347, 17.507389, 17.490589, 17.460573, 17.420731, 14.601244, 12.312424, 8.8140535, 7.0371289, 7.1352687]","[ 18.46   18.297  17.402  14.944  14.431  12.998  11.655  10.344  10.32
  10.442]",2013-06-08 00:00:00
58,[  2.   4.   6.  11.  15.  18.  20.  21.  23.  33.],37.914810869999997,-74.758428409999979,"[18.74437, 18.740795, 18.730692, 18.628531, 16.955706, 15.537302, 14.159265, 13.185234, 11.10308, 8.4946775]","[ 19.1    19.1    18.448  17.541  16.312  14.208  11.238  11.007  10.875
  10.85 ]",2013-06-10 12:00:00
59,[  2.   4.   7.  11.  13.  17.  20.  22.  31.  43.],37.903563859000002,-74.645765069999982,"[18.444761, 18.439726, 18.432234, 18.408323, 18.366829, 18.142963, 16.275352, 15.383492, 7.7669992, 6.9224315]","[ 19.84   19.574  18.349  17.636  16.553  13.618  12.126  11.49   10.521
  10.34 ]",2013-06-10 20:00:00
60,[  2.   4.   5.   8.  10.  13.  17.  24.  27.  45.],37.894102196999995,-74.630905949999999,"[18.254364, 18.252132, 18.250956, 18.248026, 18.243326, 18.233677, 18.163319, 12.028808, 9.5969944, 6.90096]","[ 19.59   19.552  18.985  18.044  17.776  16.048  12.697  10.249   9.99
  10.134]",2013-06-11 00:00:00
62,[  2.   6.   9.  12.  16.  19.  21.  22.  28.  44.],37.951095825000003,-74.582925020000005,"[20.040386, 20.008591, 19.806602, 19.613516, 19.378702, 18.841761, 17.441387, 16.061451, 10.159357, 7.1542282]","[ 19.42   18.638  16.856  14.411  12.777  11.342  10.134   9.867   9.52
   9.55 ]",2013-06-12 16:00:00
63,[  2.   7.  14.  17.  18.  20.  22.  26.  32.  44.],37.949342594000001,-74.558610580000007,"[20.64119, 20.596695, 19.771431, 19.393335, 19.147902, 18.680006, 17.348709, 13.152136, 8.42694, 7.1423359]","[ 19.84   18.812  15.439  13.612  12.304  11.536  11.37   10.062   9.491
   9.46 ]",2013-06-12 20:00:00
64,[  2.  11.  13.  16.  17.  18.  19.  20.  25.  41.],37.776362256999995,-74.763290990000002,"[20.306675, 19.322432, 19.135624, 19.027885, 18.99564, 18.746988, 17.79068, 15.994253, 9.2677803, 8.8974266]","[ 19.19   18.487  17.428  13.439  13.303  12.312  12.278  11.381  10.813
  10.72 ]",2013-06-15 20:00:00
65,[  2.   7.   9.  10.  12.  15.  16.  21.  24.  46.],37.734078043000004,-74.74257317999998,"[19.290466, 19.288031, 19.285997, 19.284367, 19.281818, 19.236572, 19.136662, 15.734438, 12.083893, 7.3051958]","[ 19.35   19.35   18.83   17.904  17.158  13.935  13.302  11.563  10.193
   9.9  ]",2013-06-17 08:00:00
67,[  2.  12.  14.  15.  17.  18.  19.  20.  21.  43.],37.764529766999999,-74.758237530000002,"[18.707266, 18.707708, 18.450106, 18.085379, 17.213346, 16.443275, 15.193254, 13.501112, 12.05775, 7.6027355]","[ 19.3    19.3    19.079  18.387  16.147  14.164  11.85   10.725  10.513
  10.08 ]",2013-06-20 04:00:00
68,[  2.   7.  12.  13.  14.  17.  18.  19.  23.  43.],37.752000746,-74.760854219999999,"[18.471867, 18.47662, 18.478767, 18.479675, 18.48115, 17.874121, 17.874121, 17.338282, 12.547775, 7.0902748]","[ 19.023  19.06   18.617  17.823  16.633  11.741  10.698  10.19    9.83
   9.83 ]",2013-06-20 08:00:00
70,[  2.   6.   7.   9.  11.  12.  13.  16.  17.  45.],37.64226807,-74.847867570000005,"[19.911961, 19.869686, 19.840256, 19.739027, 19.614468, 19.559269, 19.512081, 19.359791, 19.153801, 8.4815836]","[ 19.88   19.573  19.199  19.007  18.336  17.693  16.495  11.335  10.626
  10.29 ]",2013-06-22 16:00:00
71,[  2.   5.   9.  11.  13.  14.  16.  18.  26.  47.],37.618851714000002,-74.755312500000002,"[21.853094, 21.854191, 21.854719, 21.854427, 21.85174, 21.85174, 21.810398, 21.104893, 12.498454, 8.2567921]","[ 20.85   20.808  19.769  18.105  14.946  13.61   11.575  10.536  10.25
  10.25 ]",2013-06-24 04:00:00
72,[  2.  10.  12.  14.  16.  19.  20.  22.  27.  49.],37.590317780999996,-74.736453530000006,"[21.719332, 21.720097, 21.719614, 21.718618, 21.709988, 21.647865, 21.540838, 21.184864, 15.455966, 8.3345661]","[ 20.67   20.271  19.75   18.751  17.232  12.231  10.922  10.013   9.702
   9.58 ]",2013-06-24 08:00:00
73,[  2.   8.  11.  12.  13.  14.  17.  19.  21.  56.],37.578554421,-74.76116580999998,"[21.775146, 21.772842, 21.767879, 21.764959, 21.764959, 21.760233, 21.562716, 21.188347, 18.579695, 8.3813677]","[ 20.6    20.423  19.426  18.772  17.686  16.246  14.816  10.517   9.775
   9.52 ]",2013-06-24 12:00:00
74,[  2.   9.  12.  13.  15.  16.  17.  19.  30.  47.],37.615279031999997,-74.767607510000005,"[22.329008, 22.332062, 22.332739, 22.332973, 22.332132, 22.311714, 22.17893, 21.780149, 9.6871738, 8.1903114]","[ 21.53   20.536  19.457  18.655  15.696  13.539  11.946  10.341   9.634
   9.55 ]",2013-06-25 04:00:00
75,[  2.   7.  12.  13.  14.  16.  18.  29.  32.  47.],37.600628700999998,-74.79991425999998,"[22.306957, 22.305679, 22.296661, 22.290707, 22.280062, 22.171801, 20.861431, 9.5729866, 8.8291178, 8.4313345]","[ 21.41   21.315  19.445  18.742  17.48   13.978  11.31   10.429   9.774
   9.5  ]",2013-06-25 12:00:00
76,[  2.   6.  11.  14.  15.  16.  17.  19.  41.  44.],37.611599558999998,-74.825774210000006,"[22.634762, 22.625908, 22.575104, 22.462345, 22.402418, 22.309675, 22.066263, 20.049208, 8.4938517, 8.4938517]","[ 21.5    21.322  19.395  16.509  14.894  14.07   12.755  11.184  10.661
  10.36 ]",2013-06-25 16:00:00
77,[  2.   8.  12.  13.  16.  18.  21.  22.  41.  46.],37.621486500000003,-74.813115099999976,"[22.979681, 22.962082, 22.898066, 22.841326, 22.361916, 21.428041, 18.716358, 17.217398, 8.5304108, 8.5304108]","[ 22.11   21.269  19.645  18.851  15.178  13.412  11.646  11.374  10.26
  10.26 ]",2013-06-25 20:00:00
78,[  2.   7.   8.  11.  12.  13.  15.  20.  32.  43.],37.615229331999998,-74.794075320000005,"[23.75197, 23.748755, 23.745659, 23.732941, 23.7197, 23.696512, 23.655792, 22.197268, 10.36843, 8.7452803]","[ 22.58   22.323  20.514  18.846  17.448  15.575  13.766  11.302   9.994
   9.75 ]",2013-06-26 20:00:00
79,[  2.   6.  11.  12.  13.  14.  18.  19.  35.  46.],37.643775168000005,-74.783347090000007,"[23.411615, 23.413528, 23.414377, 23.414124, 23.413265, 23.413265, 23.146935, 23.146935, 9.2763386, 8.8302698]","[ 22.35   22.198  21.059  20.16   18.565  17.527  11.766  11.272   9.779
   9.69 ]",2013-06-27 08:00:00
80,[  2.   6.   7.  10.  15.  16.  18.  19.  34.  45.],37.616372292000001,-74.822213079999983,"[23.857428, 23.855623, 23.853865, 23.841948, 23.488777, 22.96682, 20.847469, 18.892385, 9.1037016, 8.9976025]","[ 22.63   22.476  21.51   19.799  14.445  13.08   11.575  11.214  10.107
   9.76 ]",2013-06-27 20:00:00
82,[  2.   8.  13.  14.  15.  17.  18.  21.  29.  41.],37.663059258000004,-74.81158997999998,"[23.541086, 23.541538, 23.5306, 23.510433, 23.400654, 21.187218, 18.993441, 14.504532, 9.0672884, 8.7276583]","[ 22.46   22.307  21.004  18.093  17.697  13.738  12.793  11.235   9.779
   9.69 ]",2013-06-29 04:00:00
85,[  2.  11.  14.  15.  16.  19.  20.  21.  27.  44.],37.714156854999999,-74.80566718999998,"[23.167255, 23.164892, 23.113104, 22.993504, 22.618521, 15.888218, 13.435484, 13.435484, 9.157836, 8.7880344]","[ 22.58   22.423  21.858  16.912  14.183  12.596  10.943  10.116   9.657
   9.46 ]",2013-07-01 04:00:00
86,[  2.   7.  11.  12.  14.  15.  19.  20.  24.  44.],37.899554676999998,-74.662274249999982,"[22.747658, 22.742426, 22.727497, 22.719273, 22.704922, 22.673653, 21.560099, 19.875603, 10.542488, 8.181076]","[ 22.176  22.28   21.512  18.035  14.559  13.439  11.395  10.484   9.559
   9.26 ]",2013-07-02 16:00:00
87,[  2.   7.  13.  14.  15.  18.  20.  23.  33.  38.],37.975439128000005,-74.604053160000007,"[22.591179, 22.584826, 22.56354, 22.556879, 22.549532, 22.092268, 18.999613, 11.959656, 8.4170961, 8.065732]","[ 22.53   22.477  15.762  14.409  12.166  10.242   9.671   9.459   9.26
   9.406]",2013-07-03 12:00:00
88,[  2.   7.  10.  11.  13.  17.  18.  20.  24.  39.],38.037419657000001,-74.578440119999982,"[23.100166, 23.084881, 23.066793, 23.051271, 22.990604, 22.439102, 21.787052, 16.945572, 10.979182, 7.8113437]","[ 23.12   22.681  21.39   19.99   18.754  14.017  12.177  10.941   9.925
   9.39 ]",2013-07-03 20:00:00
89,[  2.   7.   8.   9.  10.  14.  17.  19.  22.  41.],38.104376673000004,-74.525735620000006,"[23.240978, 23.24448, 23.244692, 23.244684, 23.244263, 23.220953, 22.565781, 19.402044, 12.193139, 7.7729726]","[ 23.86   23.05   21.43   21.135  19.868  17.909  14.551  11.487   9.867
   9.13 ]",2013-07-05 00:00:00
90,[  2.   6.   9.  12.  15.  19.  21.  22.  31.  43.],38.137714524000003,-74.507275160000006,"[23.524662, 23.525448, 23.522532, 23.513735, 23.496052, 20.72402, 15.543365, 13.46549, 8.7011271, 7.9356322]","[ 23.6    23.425  22.391  19.71   16.228  13.765  10.91    9.992   9.03
   9.074]",2013-07-05 12:00:00
